gender,raceEthn,parentEducation,lunch,testPrep,exam,score
female,group B,bachelor's degree,standard,none,math,72
female,group B,bachelor's degree,standard,none,reading,72
female,group B,bachelor's degree,standard,none,writing,74
female,group C,some college,standard,completed,math,69
female,group C,some college,standard,completed,reading,90
female,group C,some college,standard,completed,writing,88
female,group B,master's degree,standard,none,math,90
female,group B,master's degree,standard,none,reading,95
female,group B,master's degree,standard,none,writing,93
male,group A,associate's degree,free/reduced,none,math,47
male,group A,associate's degree,free/reduced,none,reading,57
male,group A,associate's degree,free/reduced,none,writing,44
male,group C,some college,standard,none,math,76
male,group C,some college,standard,none,reading,78
male,group C,some college,standard,none,writing,75
female,group B,associate's degree,standard,none,math,71
female,group B,associate's degree,standard,none,reading,83
female,group B,associate's degree,standard,none,writing,78
female,group B,some college,standard,completed,math,88
female,group B,some college,standard,completed,reading,95
female,group B,some college,standard,completed,writing,92
male,group B,some college,free/reduced,none,math,40
male,group B,some college,free/reduced,none,reading,43
male,group B,some college,free/reduced,none,writing,39
male,group D,high school,free/reduced,completed,math,64
male,group D,high school,free/reduced,completed,reading,64
male,group D,high school,free/reduced,completed,writing,67
female,group B,high school,free/reduced,none,math,38
female,group B,high school,free/reduced,none,reading,60
female,group B,high school,free/reduced,none,writing,50
male,group C,associate's degree,standard,none,math,58
male,group C,associate's degree,standard,none,reading,54
male,group C,associate's degree,standard,none,writing,52
male,group D,associate's degree,standard,none,math,40
male,group D,associate's degree,standard,none,reading,52
male,group D,associate's degree,standard,none,writing,43
female,group B,high school,standard,none,math,65
female,group B,high school,standard,none,reading,81
female,group B,high school,standard,none,writing,73
male,group A,some college,standard,completed,math,78
male,group A,some college,standard,completed,reading,72
male,group A,some college,standard,completed,writing,70
female,group A,master's degree,standard,none,math,50
female,group A,master's degree,standard,none,reading,53
female,group A,master's degree,standard,none,writing,58
female,group C,some high school,standard,none,math,69
female,group C,some high school,standard,none,reading,75
female,group C,some high school,standard,none,writing,78
male,group C,high school,standard,none,math,88
male,group C,high school,standard,none,reading,89
male,group C,high school,standard,none,writing,86
female,group B,some high school,free/reduced,none,math,18
female,group B,some high school,free/reduced,none,reading,32
female,group B,some high school,free/reduced,none,writing,28
male,group C,master's degree,free/reduced,completed,math,46
male,group C,master's degree,free/reduced,completed,reading,42
male,group C,master's degree,free/reduced,completed,writing,46
female,group C,associate's degree,free/reduced,none,math,54
female,group C,associate's degree,free/reduced,none,reading,58
female,group C,associate's degree,free/reduced,none,writing,61
male,group D,high school,standard,none,math,66
male,group D,high school,standard,none,reading,69
male,group D,high school,standard,none,writing,63
female,group B,some college,free/reduced,completed,math,65
female,group B,some college,free/reduced,completed,reading,75
female,group B,some college,free/reduced,completed,writing,70
male,group D,some college,standard,none,math,44
male,group D,some college,standard,none,reading,54
male,group D,some college,standard,none,writing,53
female,group C,some high school,standard,none,math,69
female,group C,some high school,standard,none,reading,73
female,group C,some high school,standard,none,writing,73
male,group D,bachelor's degree,free/reduced,completed,math,74
male,group D,bachelor's degree,free/reduced,completed,reading,71
male,group D,bachelor's degree,free/reduced,completed,writing,80
male,group A,master's degree,free/reduced,none,math,73
male,group A,master's degree,free/reduced,none,reading,74
male,group A,master's degree,free/reduced,none,writing,72
male,group B,some college,standard,none,math,69
male,group B,some college,standard,none,reading,54
male,group B,some college,standard,none,writing,55
female,group C,bachelor's degree,standard,none,math,67
female,group C,bachelor's degree,standard,none,reading,69
female,group C,bachelor's degree,standard,none,writing,75
male,group C,high school,standard,none,math,70
male,group C,high school,standard,none,reading,70
male,group C,high school,standard,none,writing,65
female,group D,master's degree,standard,none,math,62
female,group D,master's degree,standard,none,reading,70
female,group D,master's degree,standard,none,writing,75
female,group D,some college,standard,none,math,69
female,group D,some college,standard,none,reading,74
female,group D,some college,standard,none,writing,74
female,group B,some college,standard,none,math,63
female,group B,some college,standard,none,reading,65
female,group B,some college,standard,none,writing,61
female,group E,master's degree,free/reduced,none,math,56
female,group E,master's degree,free/reduced,none,reading,72
female,group E,master's degree,free/reduced,none,writing,65
male,group D,some college,standard,none,math,40
male,group D,some college,standard,none,reading,42
male,group D,some college,standard,none,writing,38
male,group E,some college,standard,none,math,97
male,group E,some college,standard,none,reading,87
male,group E,some college,standard,none,writing,82
male,group E,associate's degree,standard,completed,math,81
male,group E,associate's degree,standard,completed,reading,81
male,group E,associate's degree,standard,completed,writing,79
female,group D,associate's degree,standard,none,math,74
female,group D,associate's degree,standard,none,reading,81
female,group D,associate's degree,standard,none,writing,83
female,group D,some high school,free/reduced,none,math,50
female,group D,some high school,free/reduced,none,reading,64
female,group D,some high school,free/reduced,none,writing,59
female,group D,associate's degree,free/reduced,completed,math,75
female,group D,associate's degree,free/reduced,completed,reading,90
female,group D,associate's degree,free/reduced,completed,writing,88
male,group B,associate's degree,free/reduced,none,math,57
male,group B,associate's degree,free/reduced,none,reading,56
male,group B,associate's degree,free/reduced,none,writing,57
male,group C,associate's degree,free/reduced,none,math,55
male,group C,associate's degree,free/reduced,none,reading,61
male,group C,associate's degree,free/reduced,none,writing,54
female,group C,associate's degree,standard,none,math,58
female,group C,associate's degree,standard,none,reading,73
female,group C,associate's degree,standard,none,writing,68
female,group B,associate's degree,standard,none,math,53
female,group B,associate's degree,standard,none,reading,58
female,group B,associate's degree,standard,none,writing,65
male,group B,some college,free/reduced,completed,math,59
male,group B,some college,free/reduced,completed,reading,65
male,group B,some college,free/reduced,completed,writing,66
female,group E,associate's degree,free/reduced,none,math,50
female,group E,associate's degree,free/reduced,none,reading,56
female,group E,associate's degree,free/reduced,none,writing,54
male,group B,associate's degree,standard,none,math,65
male,group B,associate's degree,standard,none,reading,54
male,group B,associate's degree,standard,none,writing,57
female,group A,associate's degree,standard,completed,math,55
female,group A,associate's degree,standard,completed,reading,65
